Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_ms,Device_Time_ms,Speedup
house.pgm,512,512,2.5,70,100,29.969791,1.422688,21.06
house.pgm,512,512,2.5,70,110,31.119488,1.452000,21.43
house.pgm,512,512,2.5,70,120,29.944096,1.417440,21.12
house.pgm,512,512,2.5,70,130,30.000769,1.423552,21.07
jetplane.pgm,512,512,0.5,20,80,29.755424,1.428512,20.82
jetplane.pgm,512,512,0.5,20,90,29.876287,1.425504,20.95
jetplane.pgm,512,512,0.5,20,100,31.319904,1.439680,21.75
jetplane.pgm,512,512,0.5,20,110,29.571327,1.439008,20.54
jetplane.pgm,512,512,0.5,20,120,31.042368,1.441440,21.53
jetplane.pgm,512,512,0.5,20,130,29.962208,1.419776,21.10
jetplane.pgm,512,512,0.5,30,80,36.040672,1.437152,25.07
jetplane.pgm,512,512,0.5,30,90,29.987360,1.420928,21.10
jetplane.pgm,512,512,0.5,30,100,29.796864,1.415136,21.05
jetplane.pgm,512,512,0.5,30,110,31.027168,1.436672,21.59
jetplane.pgm,512,512,0.5,30,120,31.383936,1.417568,22.13
jetplane.pgm,512,512,0.5,30,130,29.933376,1.421024,21.06
jetplane.pgm,512,512,0.5,40,80,30.147776,1.508672,19.98
jetplane.pgm,512,512,0.5,40,90,29.855137,1.430080,20.87
jetplane.pgm,512,512,0.5,40,100,29.644096,1.428288,20.75
jetplane.pgm,512,512,0.5,40,110,36.912704,1.444736,25.54
jetplane.pgm,512,512,0.5,40,120,30.959360,1.408640,21.97
jetplane.pgm,512,512,0.5,40,130,29.963072,1.416800,21.14
jetplane.pgm,512,512,0.5,50,80,38.344994,1.433920,26.74
jetplane.pgm,512,512,0.5,50,90,29.790272,1.416608,21.02
jetplane.pgm,512,512,0.5,50,100,30.987137,1.418336,21.84
jetplane.pgm,512,512,0.5,50,110,29.946976,1.429440,20.95
jetplane.pgm,512,512,0.5,50,120,31.047329,1.447680,21.44
jetplane.pgm,512,512,0.5,50,130,30.057184,1.438432,20.89
jetplane.pgm,512,512,0.5,60,80,29.663937,1.422912,20.84
jetplane.pgm,512,512,0.5,60,90,29.783968,1.432960,20.78
